Ligne,Nom,Note Oct 23,Note Dec 28,Difference,Evolution,Comments Oct,Comments Dec
1,Urban Flat 01 - Charmant appartement 2 chambres Montorgueil,4.22,4.30,+0.08,↑,9,10
2 A,02 - Joli appartement 4 chambres à Paris,4.33,4.36,+0.03,↑,21,22
2 B,Appartement urbain 02 - Bel appartement 4 chambres,X,3.67,NEW,★,2,3
3 A,03 - Bel appartement urbain Montorgueil,4.33,4.33,0.00,=,48,48
3 B,UrbanFlat 03 - Appartement 4 chambres Paris Centre,X,4.5,NEW,★,1,4
4 A,UrbanFlat 04 - Appartement au centre 2 Chambres,X,X,N/A,-,X,2
4 B,UrbanFlat 04 - Appartement Parisien 2 chambres,X,4.4,NEW,★,2,5
5 B,Urban Flat 05 - Bel appartement à Paris,X,X,N/A,-,1,1
6,Urban Flat 06 - Charmant 2 Bdr à Paris,4.83,4.83,0.00,=,6,6
7 A,Urban Flat 07 - Appartement central 1 chambre,4.40,4.45,+0.05,↑,10,11
7 B,Appartement urbain 07 - Appartement Grands Boulevards,X,X,N/A,-,1,1
8 A,Urban Flat 08 - L'appartement panoramique à Paris,3.88,3.88,0.00,=,8,8
8 B,UrbanFlat 08 - Appartement Magenta Design,X,X,N/A,-,X,1
9 A,Appartement urbain 09 - Triplex design Champs-Élysées,4.0,4.10,+0.10,↑,8,10
9 B,UrbanFlat 09 - Triplex Champs-Élysées,X,X,N/A,-,X,1
11 A,11 - Studio à côté des Champs-Elysées,3.89,4.0,+0.11,↑,9,10
11 B,UrbanFlat 11 - Studio Wagram Pereire,X,X,N/A,-,1,2
13 A,Urban Flat 13 - Bel appartement 2 chambres centre Paris,4.33,4.33,0.00,=,24,24
14 A,14 - Appartement de luxe urbain Tour Eiffel,4.35,4.35,0.00,=,34,34
14 B,Urban Flat 14 - Charmant appartement 3 chambres Paris,4.43,4.43,0.00,=,7,7
15,Appartement urbain 15 - Coco Chanel Montorgueil,4.5,4.30,-0.20,↓,8,10
17 A,Urban Flat 17 - Joli appartement 3 chambres Paris,4.71,4.60,-0.11,↓,7,10
17 B,Urban Flat 17 - Sublime appartement 3 chambres Paris,4.17,4.17,0.00,=,12,12
18 B,Urban Flat 18 - Charmante maison parisienne 2 chambres,X,X,N/A,-,1,1
19,Urban Flat 19 - Charmant appartement Montorgueil,3.71,3.71,0.00,=,7,7
21 A,Urban Flat 21 - Charmant duplex Montorgueil,4.31,4.36,+0.05,↑,13,14
21 B,Appartement urbain 21 - Duplex Montorgueil,3.33,3.33,0.00,=,3,3
23 B,UrbanFlat 23 - Appartement Central Balcon,X,4.8,NEW,★,1,5
24 A,Urban Flat 24 - Caire 2 Chambres,X,X,N/A,-,X,X
25,Urban Flat 25 - Studio Duplex Marvel Paris centre,4.0,4.0,0.00,=,4,6
31 B,Urban Flat 31 - Triplex au centre de Paris,4.10,4.0,-0.10,↓,10,12
33,Urban Flat 33 - Charmant appartement Champs-Élysées,4.4,4.35,-0.05,↓,48,52
34 A,Appartement urbain 34 - Magnifique 3 chambres Paris Louvre,3.94,3.94,0.00,=,17,17
34 B,Urban Flat 34 - Superbe 3 chambres Paris Louvre,4.6,4.6,0.00,=,5,5
35 A,35 - Joli appartement urbain Grands Boulevards,4.0,4.0,0.00,=,68,68
35 B,UrbanFlat 35 - Grands Boulevards,4.0,4.0,0.00,=,3,3
40 A,Urban Flat 40 - Charmant Apartment centre Paris,X,X,N/A,-,X,2
40 B,UrbanFlat 40 - Appartement 2 chambres centre Paris,4.0,3.86,-0.14,↓,5,7
41 A,UrbanFlat 41 - Disneyland in Paris - Montorgueil,4.31,4.31,0.00,=,16,16
42,Urban Flat 42 - Game of Thrones Paris,X,4.5,NEW,★,2,4
42 B,Urban Flat 42 - Appartement Game of Thrones Paris,3.40,3.40,0.00,=,5,5
44 A,Urban Flat 44 - Charmant appartement parisien,4.60,4.67,+0.07,↑,5,6
44 B,UrbanFlat 44 - Appartement au centre de Paris,X,X,N/A,-,1,1
52 A,Urban Flat 52 - Appartement 2 chambres central,X,X,N/A,-,2,2
55 A,UrbanFlat 55 - Atelier Triplex Marylin Monroe,X,4.0,NEW,★,2,3
55 B,UrbanFlat 55 - Appartement Marylin Monroe centre,X,2.75,NEW,★,X,4
57 A,Urban Flat 57 - Appartement parisien luxe 4 chambres,4.67,4.67,0.00,=,12,12
60 A,Urban Flat 60 - Sublime 3bdr Parisian Flat,X,5.0,NEW,★,1,3
60 B,Urban Flat 60 - Sublime appartement parisien Paris,X,X,N/A,-,1,1
61 A,Urban Flat 61 - Appartement parisien luxe 3 chambres,4.37,4.37,0.00,=,19,19
62 A,Appartement urbain 62 - Charmant 3 chambres Triangle d'Or,4.33,4.33,0.00,=,6,6
62 B,Urban Flat 62 - Bel appartement Triangle d'Or,4.5,4.5,0.00,=,6,6
63 A,Urban Flat 63 - Bel appartement 3 chambres Champs-Elysées,4.22,4.36,+0.14,↑,9,11
63 B,Appartement urbain 63 - Bel Mermoz,X,X,N/A,-,1,2
64 A,64 - Appartement de luxe urbain Champs-Élysées,4.27,4.27,0.00,=,33,33
64 B,Urban Flat 64 - Appartement sublime Champs-Elysées,4.25,4.22,-0.03,↓,8,9
66 A,Urban Flat 66 - Joli 3 chambres Paris,X,X,N/A,-,1,1
66 B,66 - Atelier Paris Fidélité,X,4.67,NEW,★,X,3
67 A,Urban Flat 67 - Spacieux appartement parisien Paris,4.62,4.63,+0.01,↑,29,30
67 B,Urban Flat 67 - Sublime appartement parisien,X,4.83,NEW,★,2,6
68 A,Appartement urbain 68 - Charmant appartement Rolling Stones,4.23,4.23,0.00,=,13,13
69 A,Urban Flat 69 - Bel appartement parisien,3.4,3.4,0.00,=,5,5
69 B,UrbanFlat 69 - Large Appartement Paris Centre,4.67,4.45,-0.22,↓,6,11
70 A,Urban Flat 70 - Authentique appartement parisien 3 chambres,4.26,4.26,0.00,=,31,31
70 B,UrbanFlat 70 - Appartement Parisien spacieux,X,4.2,NEW,★,X,5
71 A,71 - Appartement urbain incroyable Marais,4.14,4.14,0.00,=,29,29
71 B,Urban Flat 71 - Appartement incroyable Marais,X,X,N/A,-,2,2
72 A,Urban Flat 72 - Joli appartement 3 chambres Triangle d'Or,4.57,4.57,0.00,=,7,7
73 A,Urban Flat 73 - Spacieux appartement parisien 4 chambres,4.34,4.34,0.00,=,35,35
74 A,Appartement urbain 74 - Le Marais Disney,4.60,4.75,+0.15,↑,5,8
75 A,Urban Flat 75 - Sublime 3bdr Flat near Les Jardins,4.24,4.31,+0.07,↑,33,36
76 A,Urban Flat 76 - Joli appartement 2 chambres Marais,4.70,4.64,-0.06,↓,10,11
76 B,UrbanFlat 76 - Le Marais & République Appartement,X,X,N/A,-,1,1
78 B,Urban Flat 78 - Bel appartement 3 chambres Marais,4.0,4.0,0.00,=,9,9
79 A,Urban Flat 79 - Bel appartement 4 chambres Le Marais,4.25,4.25,0.00,=,8,8
79 B,UrbanFlat 79 - Grand appartement proche Le Marais,X,4.33,NEW,★,2,3
80 A,UrbanFlat 80 - Duplex Parisien centre,X,3.33,NEW,★,X,3
80 B,Urban Flat 80 - Appartement Fashion Week Paris,4.0,4.0,0.00,=,3,3
81 A,Appartement urbain 81 - Paris Luxe Sebastopol,4.31,4.0,-0.31,↓,13,18
86 A,Urban Flat 86 - Bel appartement 2 chambres Paris,4.27,4.27,0.00,=,22,22
86 B,UrbanFlat 86 - Charmant Appartement 2 chambres,X,X,N/A,-,2,2
89 A,Appartement urbain 89 - Charmant appartement 3 chambres,3.20,3.20,0.00,=,5,5
89 B,UrbanFlat 89 - Appartement centre Paris,X,X,N/A,-,X,2
90,Urban Flat 90 - Appartement design Karl Lagerfeld,3.86,3.86,0.00,=,14,14
91 A,Urban Flat 91 - Bel appartement Picasso Marais,4.27,4.27,0.00,=,15,15
91 B,UrbanFlat 91 - Appartement central Marais,5.0,4.75,-0.25,↓,4,8
92 A,92 - Appartement urbain Montorgueil,4.6,4.6,0.00,=,48,48
93,93 - Appartement de luxe dans le Marais,4.36,4.38,+0.02,↑,25,26
94 B,UrbanFlat 94 - Appartement élégant centre,X,4.5,NEW,★,X,6
96 A,Urban Flat 96 - Joli appartement parisien Montorgueil,X,4.33,NEW,★,2,3
96 B,96 - Urban Musée Grévin,X,X,N/A,-,1,1
97 A,Urban Flat 97 - Appartement parisien 1 chambre,4.20,4.33,+0.13,↑,5,6
98 A,98 - Fabuleux appartement au coeur de Paris,4.47,4.49,+0.02,↑,38,39
99 A,Urban Flat 99 - Spacieux appartement 6 chambres Paris,4.18,4.17,-0.01,↓,11,12
99 B,UrbanFlat 99 - Sublime Grand Appartement Central,4.0,4.40,+0.40,↑,3,5
100 A,Appartement urbain 100 - Joli 2 chambres Beaubourg Marais,4.5,4.56,+0.06,↑,8,9
101 A,Appartement urbain 101 - Charmant appartement Paris,X,X,N/A,-,1,2
101 B,101 - Centre urbain de Pompidou,X,X,N/A,-,2,2
102 A,102 - Opéra urbain Picasso,4.6,4.57,-0.03,↓,70,75
103 A,Appartement urbain 103 - Appartement spacieux Grands Boulevards,4.64,4.64,0.00,=,11,11
104 A,Appartement urbain 104 - Appartement parfait Opéra,4.32,4.32,0.00,=,19,19
104 B,UrbanFlat 104 - Appartement 4 Chambres Opera,X,X,N/A,-,1,2
105 B,Urban Flat 105 - Appartement 4 chambres Haussmann Opéra,4.67,4.40,-0.27,↓,6,10
106 A,106 - Appartement de luxe urbain Opéra,4.28,4.26,-0.02,↓,64,66
107 A,107 - Urban Luxury Opera Rock,X,4.25,NEW,★,X,24
107 B,Appartement urbain 107 - Sublime 4 chambres Opera Rock,4.36,4.42,+0.06,↑,11,12
108 B,Urban Flat 108 - Joli appartement parisien 4 chambres,3.0,3.0,0.00,=,4,4
110 B,Appartement urbain 110 - Luxe 3 chambres Galeries Lafayette,4.43,4.43,0.00,=,7,7
111 A,UrbanFlat 111 - Madeleine Galeries Lafayette flat,X,4.0,NEW,★,1,4
111 B,Urban Flat 111 - Bel appartement urbain Madeleine,3.86,3.86,0.00,=,7,7
112,UrbanFlat 112 - Appartement 1 chambre Saint Michel,4.0,4.13,+0.13,↑,7,8
113 B,UrbanFlat 113 - 2 Chambres centre Paris,4.17,4.29,+0.12,↑,6,7
115 A,Appartement urbain 115 A - Appartement tendance Louis Vuitton,3.90,4.0,+0.10,↑,10,11
117 A,Urban Flat 117 - Charmant appartement 3 chambres Paris,4.26,4.28,+0.02,↑,35,36
118 A,118 - Appartement de luxe urbain La Sorbonne,4.36,4.36,0.00,=,36,36
118 B,Urban Flat 118 - Appartement luxe 4 chambres Saint Germain,X,4.63,NEW,★,X,8
119 A,119 - Appartement urbain spacieux centre Paris,4.66,4.62,-0.04,↓,67,69
119 B,Urban Flat 119 - Appartement spacieux 5 chambres Paris,X,X,N/A,-,2,2
120 B,UrbanFlat 120 - Charmant appart Marais,X,X,N/A,-,1,2
121,Appartement urbain 121 - Magnifique Montorgueil,4.53,4.54,+0.01,↑,32,35
122 A,UrbanFlat 122 - Grand Appartement Paris Center,X,X,N/A,-,X,2
122 B,UrbanFlat 122 - Palestro 5 Chambres Central,3.5,3.8,+0.30,↑,4,5
123 A,123 - Appartement urbain Montorgueil,4.41,4.41,0.00,=,73,73
124 A,124 - Appartement urbain fabuleux,4.38,4.38,0.00,=,45,45
126 A,126 - Superbe 3 chambres urbain Montorgueil,4.22,4.22,0.00,=,18,18
127 B,Appartement urbain 127 - Magnifique Montorgueil,X,X,N/A,-,1,1
128 A,UrbanFlat 128 - Appartement Champs Elysées,X,3.67,NEW,★,2,6
129 A,Urban Flat 129 - Art Love Champs Elysees,3.4,3.4,0.00,=,5,5
130 A,130 - Appartement urbain neuf 110 m2 Montorgueil,4.47,4.47,0.00,=,15,15
131 B,UrbanFlat 131 - Ponceau Appartement centre,X,5.0,NEW,★,1,4
132 A,Urban Flat 132 - Bel appartement 4 chambres Montorgueil,4.67,4.67,0.00,=,3,3
132 B,Urban Flat 132 - Bel appartement 4 chambres Paris,4.27,4.27,0.00,=,15,15
133 A,Urban Flat 133 - Superbe appartement 4 chambres Montorgueil,4.43,4.56,+0.13,↑,7,9
133 B,UrbanFlat 133 - Appartement central 4 chambres,X,X,N/A,-,1,1
134 A,134 - Magnifique appartement urbain Montorgueil,4.50,4.50,0.00,=,16,16
134 B,134 - Appartement 4 chambres Montorgueil,X,X,N/A,-,2,2
135 A,135 A - Appartement urbain cinq étoiles centre Paris,4.52,4.52,0.00,=,54,54
136 A,Urban Flat 136 - Duplex 4 chambres luxe centre Paris,4.18,4.18,0.00,=,22,22
138 A,138 - Appartement de luxe urbain Saint-Germain,4.44,4.42,-0.02,↓,61,64
138 B,Urban Flat 138 - Duplex à Saint-Germain,4.8,4.5,-0.30,↓,5,6
139 A,139 - Appartement urbain duplex Saint-Germain,4.65,4.65,0.00,=,51,52
140 A,Urban Flat 140 - Bel appartement Saint-Germain,X,4.33,NEW,★,2,3
140 B,140 - Duplex urbain Saint-Germain des Pres,X,X,N/A,-,X,1
141 A,UrbanFlat 141 - Triangle D'or Grand Appartement,X,X,N/A,-,X,X
141 B,Appartement urbain 141 - Bel appartement 3 chambres Champs,4.57,4.57,0.00,=,7,7
153,153 - Joli appartement urbain centre Paris,4.54,4.54,0.00,=,24,24
154,Urban Flat 154 - Pretty 2 Bdr centre Paris,X,4.40,NEW,★,3,5
155,Urban Flat 155 - Appartement luxe 2 chambres Paris,4.57,4.57,0.00,=,7,7
156,Appartement urbain 156 - Appartement YSL Montorgueil,X,4.58,NEW,★,X,24
157 A,Appartement urbain 157 - Appartement Coco Chanel Montorgueil,4.78,4.60,-0.18,↓,9,10
158 A,158 - Appartement urbain Louis Vuitton Montorgueil,4.48,4.48,0.00,=,44,44
160,160 - Fashion Week urbaine Paris Vuitton,4.37,4.32,-0.05,↓,46,50
160 B,UrbanFlat 160 - Fashion Week Triplex Central,3.75,3.75,0.00,=,4,4
161 A,Urban Flat 161 - Sublime appartement luxe 4 chambres Paris,4.20,4.25,+0.05,↑,10,12
164,UrbanFlat 164 - Studio Central Paris St.Martin,X,X,N/A,-,1,1
165,UrbanFlat 165 - Studio Triangle d'Or Boétie,3.75,3.75,0.00,=,4,4
165 B,UrbanFlat 165 - Studio Champs élysées Boétie,X,2.75,NEW,★,X,4
166,Appartement urbain 166 - Appartement luxe 4 chambres centre,4.20,4.18,-0.02,↓,10,11
167,Urban Flat 167 - Appartement luxe 1 chambre Paris,5.0,5.0,0.00,=,3,3
168,Urban Flat 168 - Spacieux appartement 1 chambre Paris,4.29,4.22,-0.07,↓,7,9
169,Appartement urbain 169 - Joli appartement Bercy Coriolis,4.06,4.12,+0.06,↑,16,17
170,Urban Flat 170 - Sublime appartement centre Paris,4.71,4.71,0.00,=,24,24
173,Urban Flat 173 - Atelier Gaite Montparnasse,4.0,3.67,-0.33,↓,5,6
174,Appartement urbain 174 - Vuitton Saint Denis,4.75,4.75,0.00,=,4,4
175,Appartement urbain 175 - Loft St Denis,3.0,3.0,0.00,=,4,4
176,Urban Flat 176 - Charmant Duplex Paris Centre,3.75,4.17,+0.42,↑,4,6
178,Urban Flat 178 - Appartement central 2 chambres,3.6,X,N/A,-,5,1
180,Urban Flat 180 - Charmant Appartement Coeur Marais,X,X,N/A,-,2,2
188 B,Urban Flat 188 - Superbe appartement 4 chambres Paris,4.56,4.55,-0.01,↓,19,20
189,Appartement urbain 189 - Atelier Montparnasse Vuitton,4.4,4.4,0.00,=,5,5
191 A,Appartement Madeleine - 4 Chambres spacieuses,5.0,5.0,0.00,=,20,24
192,Urban Flat 192 - Appartement 1 chambre centre,X,5.0,NEW,★,X,4
193,Appartement urbain 193 - Barbie à Paris,3.5,3.20,-0.30,↓,4,5
194 A,Urban Flat 194 - Spacieux 3 chambres Montmartre,4.0,4.0,0.00,=,6,6
195 A,Appartement urbain 195 - Triplex Saint Denis,X,X,N/A,-,1,1
196,Appartement urbain - 196 Saint Honoré,4.25,4.33,+0.08,↑,8,9
197,Appartement Saint Honoré Champs Elysées,5.0,5.0,0.00,=,12,15
199,Urban Flat 199 - Appartement Central 5 Chambres,X,4.67,NEW,★,2,9
