Ligne,Nom,Note Dec 22,Note Dec 29,Difference,Evolution,Comments Dec 22,Comments Dec 29
1,Urban Flat 01 - Charming 2 bedroom Flat in Montorgueil,7.0,7.1,+0.1,↑ Improved,46,48
2 A,02 - Pretty 4BDR Flat in Paris,8.5,8.5,0,= Stable,17,17
2 B,Urban Flat 02 - 4 Bedrooms Flat in center of Paris,10,10,0,= Stable,1,1
3 A,03 - Urban Formidable in Montorgueil,6.3,6.3,0,= Stable,39,39
3 B,UrbanFlat 03 - 4 Bedroom Apartment in Center of Paris,9.0,9.0,0,= Stable,1,1
4 B,Urban Flat 04 - Pretty 2 Bedroom Flat in Montorgueil,6.3,6.3,0,= Stable,14,14
4 A,04 Best Flat Montorgeuil 3,6.1,6.1,0,= Stable,46,46
5 B,UrbanFlat 05 - Courtyard Apartment in Central Paris,8.0,8.0,0,= Stable,1,1
5 A,05 - Parisian Design Loft,7.7,7.7,0,= Stable,65,64
6,06 - Richer,7.8,7.8,0,= Stable,21,21
7 B,07 Best Flat of Grand Boulevard,5.8,5.8,0,= Stable,43,43
7 A,Urban Flat 07 - Opera Grands Boulevards Flat,6.0,6.0,0,= Stable,5,5
8 A,Urban Flat 08 - The Panoramic Flat in Paris,7.2,7.2,0,= Stable,46,46
9 B,Urban Flat 09 - Stylish Triplex Champs-Elysees,6.5,6.5,0,= Stable,14,14
11 B,Urban Flat 11 - Studio Wagam Pereire,5.4,5.4,0,= Stable,5,5
13 B,Urban Flat 13 - Pretty 2 Bedroom Parisian Flat,7.4,7.4,0,= Stable,23,24
13 A,13 Luxury Flat eiffel design 2,6.9,6.9,0,= Stable,21,21
14 B,Urban Flat 14 - Charming 3 BDR Flat in Paris,7.9,7.9,0,= Stable,6,6
14 A,14 Luxury Flat Eiffel Design 1,6.8,6.8,0,= Stable,15,15
17 A,Urban Flat 17 - Pretty 3 Bedroom Flat in Paris,6.3,6.3,0,= Stable,3,3
17 B,Urban Flat 17 - Pretty 3 BDR Flat in Paris Montorgueil,7.5,7.5,0,= Stable,21,21
18 B,Urban Flat 18 - Charming 2BDR Parisian Home,7.6,7.7,+0.1,↑ Improved,22,24
19,19 Atelier Montorgueil,8.0,7.9,-0.1,↓ Degraded,76,78
21 A,21 Atelier Chaplin Montorgueil,6.8,6.8,0,= Stable,61,61
21 B,Urban Flat 21 - Chaplin Atelier in central Paris,6.5,6.5,0,= Stable,10,10
23 A,23 - Charming 3BDR Parisian Apartment in Montorgueil,7.3,7.3,0,= Stable,40,40
24 B,Urban Flat 24 - Charming Home in Paris,7.3,7.3,0,= Stable,42,42
24 A,24 - Luxury Home in Paris Montorgueil,6.3,6.2,-0.1,↓ Degraded,23,23
25,25 - Fun Duplex in Montorgueil,6.5,6.4,-0.1,↓ Degraded,83,84
31 B,Urban Flat 31 - Lovely Triplex in Paris,5.3,5.3,0,= Stable,3,3
31 A,UrbanFlat 31 - Triplex Loft in Central Paris,7.4,7.4,0,= Stable,7,7
32,32 Atelier Paris Fashion,7.6,7.6,0,= Stable,50,50
33,33 - Flat Av des Champs-Elysees,8.3,8.3,0,= Stable,44,44
34 B,UrbanFlat 34 - Spacious & Bright Paris Home for 11,7.3,7.0,-0.3,↓ Degraded,3,4
34 A,Urban Flat 34 - Beautiful 3 Bedroom Paris Louvre,5.4,5.4,0,= Stable,5,5
35 B,35 - Urban Montmartre,7.2,7.2,0,= Stable,32,32
35 A,Urban Flat 35 - 2 Bedroom Apartment Grands Boulevards,8.3,8.4,+0.1,↑ Improved,9,11
38,38 Atelier Mona Lisa,5.5,5.5,0,= Stable,96,96
40 B,40-Flat Paris Eiffel,7.5,7.5,0,= Stable,48,48
41 B,41-Atelier Star Wars,7.3,7.3,0,= Stable,87,87
42 A,42-LUXURY FLAT,7.1,7.1,0,= Stable,44,44
42 B,Urban Flat 42 - Game of thrones Apartment,6.0,6.0,0,= Stable,3,3
44 A,Urban Flat 44 - Chenier,5.9,5.9,0,= Stable,9,9
44 B,UrbanFlat 44 - Apartment in center of Paris,7.0,7.0,0,= Stable,3,3
52 A,Urban Flat 52 - Charming 2 BDR Flat in Center of Paris,6.3,6.3,0,= Stable,14,14
52 B,52 - Urban Collection Grands Boulevards,6.1,6.1,0,= Stable,49,49
55 B,55-ATELIER MARILYN MONROE,6.7,6.7,0,= Stable,75,75
55 A,UrbanFlat 55 - Triplex Marylin Monroe in a Historic Passage,9.0,9.0,0,= Stable,2,2
57 A,Urban Flat 57 - Luxury 4BDR Parisian Flat in Paris,8.3,8.2,-0.1,↓ Degraded,43,43
57 B,57-LUXURY PARISIEN HOME SEBASTOPOL 1 (2G),6.7,6.7,0,= Stable,13,13
60 B,Urban Flat 60 - Sublime Parisian Flat in Paris,9.6,9.6,0,= Stable,5,5
60 A,60-LUXURY PARISIAN HOME SEBASTOPOL (2DG),6.9,6.8,-0.1,↓ Degraded,32,32
61 B,Urban Flat 61 - Pretty 3 Bedrooms in Center of Paris,6.9,6.9,0,= Stable,22,22
61 A,61- Big Luxury Parisian Flat 2DD,6.5,6.5,0,= Stable,22,22
62 A,62 - Beautiful Apartment Triangle d Or,7.4,7.3,-0.1,↓ Degraded,20,20
62 B,Urban Flat 62 - Beautiful Apartment Mermoz Champs-Elysees,7.5,7.5,0,= Stable,2,2
63 A,Urban Flat 63 - Beautiful 3 Bedroom Flat Champs-Elysees,7.6,7.6,0,= Stable,30,30
63 B,Urban Flat 63 - 3 Bedrooms Flat Champs-Elysees Mermoz,4.0,4.0,0,= Stable,3,3
64 A,64 - Urban Luxury Flat near Champs-Elysees,5.9,5.9,0,= Stable,7,7
64 B,Urban Flat 64 - Luxury flat Mermoz - Champs Elysees,8.0,8.0,0,= Stable,7,7
65,65-FRENCH CANCAN ST DENIS,6.7,6.8,+0.1,↑ Improved,102,103
66 A,Urban Flat 66 - Pretty 3 bedroom in Paris,5.9,5.9,0,= Stable,25,25
66 B,66 - Atelier Fidelite Paris,5.9,5.9,0,= Stable,19,19
67 B,67 - Amazing Parisian Flat,6.4,6.4,0,= Stable,10,10
67 A,Urban Flat 67 - Spacious Flat in Central Paris,7.5,7.5,0,= Stable,2,2
68 B,68 - The Rolling Stones Flat,7.2,7.1,-0.1,↓ Degraded,65,65
69 A,Urban Flat 69 - Beautiful Parisian Apartment,5.8,5.8,0,= Stable,5,5
69 B,69 - Authentic Parisian Home,7.1,7.1,0,= Stable,9,9
70 A,Urban Flat 70 - Authentic 3BDR Parisian Flat,7.5,7.5,0,= Stable,10,10
70 B,70 - Authentic Parisian Flat,6.4,6.4,0,= Stable,6,6
71 A,Urban Flat 71 - Amazing Apartment in Le Marais,8.0,8.0,0,= Stable,5,5
71 B,71 - Amazing Apartment in Le Marais,7.9,7.9,0,= Stable,39,40
72 A,Urban Flat 72 - Pretty 3 Bedroom Flat - Triangle d Or,7.5,7.5,0,= Stable,29,29
72 B,72 - Mermoz Mickey Mouse,5.5,5.5,0,= Stable,4,4
73 A,Urban Flat 73 - Luxury Parisian Flat near Les Halles Rivoli,5.8,5.8,0,= Stable,10,10
73 B,73 - Etienne Marcel,8.1,8.0,-0.1,↓ Degraded,23,24
74 A,Urban Flat 74 - Disneyland in Paris Apartment,7.1,7.1,0,= Stable,32,32
74 B,Urban Flat 74 - Disneyland in Paris Apartment,8.5,8.4,-0.1,↓ Degraded,4,5
75 A,Urban Flat 75 - Sublime 3BDR Flat near Les Jardins du Luxembourg,7.7,7.7,0,= Stable,11,11
75 B,UrbanFlat 75 - Grand Apartment near Jardin du Luxembourg,8.0,8.0,0,= Stable,1,1
76 B,76 - Urban Jardins du Marais,6.7,6.7,0,= Stable,35,35
76 A,76 A - Temple RD,8.4,8.4,0,= Stable,17,17
77 A,Urban Flat 77 - Sublime and Spacious Flat in Le Marais,6.7,6.8,+0.1,↑ Improved,4,4
77 B,77 - Urban Sublime Le Marais,6.3,6.3,0,= Stable,22,22
78 A,Urban Flat 78 - Luxury 3 BDR Flat in Le Marais,7.9,7.8,-0.1,↓ Degraded,10,10
78 B,Urban Flat 78 - 3 Bedroom apartment Republique,7.0,7.0,0,= Stable,1,1
79 B,79 - Urban Love Le Marais,7.8,7.8,0,= Stable,41,41
80 A,80 - Paris Cinema Sebastopol,5.5,5.5,0,= Stable,30,30
80 B,UrbanFlat 80 - The Parisian Triplex Central Loft,5.5,5.5,0,= Stable,2,2
81 B,81 - Paris Luxe Sebastopol,6.0,6.0,0,= Stable,36,35
81 A,81 - Paris Luxe Sebastopol,5.6,5.6,0,= Stable,11,11
86 B,86 - Urban Charming Apartment,6.1,6.2,+0.1,↑ Improved,45,45
86 A,Urban Flat 86 - Charming Paris Central Flat,5.0,5.0,0,= Stable,1,1
89 A,Urban Flat 89 - Charming 3 Bedroom Flat in Paris,6.0,6.0,0,= Stable,9,9
89 B,Urban Flat 89 - Charming Central Flat,6.8,6.8,0,= Stable,9,9
90,90 - Karl Lagerfeld Lafayette,7.4,7.4,0,= Stable,66,66
91 B,91 - Urban Picasso Le Marais,8.2,8.2,0,= Stable,22,22
92 B,92 - Beautiful Apartment in Montorgueil,7.8,7.8,0,= Stable,76,76
93,93 - Luxury Flat in Le Marais,6.9,6.7,-0.2,↓ Degraded,81,82
94 A,Urban Flat 94 - Beautiful Flat Coco Chanel in Paris,7.4,7.3,-0.1,↓ Degraded,24,24
94 B,94 - Urban French Kiss Montorgueil,6.8,6.8,0,= Stable,9,9
96 B,96 - Urban Musee du Louvre,6.0,6.0,0,= Stable,59,59
96 A,Urban Flat 96 - 1 Bedroom Aboukir,4.7,4.7,0,= Stable,6,6
97 B,Urban Flat 97 - Spacious 1 Bedroom in Paris,7.4,7.5,+0.1,↑ Improved,14,15
97 A,97 - Urban Colonnes de Buren,6.7,6.7,0,= Stable,27,27
98 B,98 - Urban Arts et Metiers,8.2,8.2,0,= Stable,25,25
99 A,Urban Flat 99 - Spacious 6 BDR Apartment in Paris,7.9,7.9,0,= Stable,21,21
100 B,100 - Luxury 2 Bedroom - Beaubourg Marais,7.7,7.7,0,= Stable,87,87
101 B,101 - Urban Centre Pompidou,6.9,6.8,-0.1,↓ Degraded,45,45
101 A,UrbanFlat 101 - Modern charming Apartment in Le Marais,5.0,5.0,0,= Stable,5,5
102 B,102 - Urban Opera Picasso,8.4,8.4,0,= Stable,9,9
103 A,Urban Flat 103 - Spacious Flat near Grands Boulevards,7.8,7.8,0,= Stable,47,48
103 B,103 - Urban Grands Boulevards,5.8,5.8,0,= Stable,10,10
104 A,104 - Urban Opera Lafayette,5.8,5.8,0,= Stable,10,10
104 B,Urban Flat 104 - 4 Bedroom Flat Opera,8.7,8.6,-0.1,↓ Degraded,9,12
105 B,105 - Urban Haussmann Opera,7.5,7.5,0,= Stable,67,68
106 B,106 - Urban Luxury Opera Gustav Klimt,8.6,8.7,+0.1,↑ Improved,23,24
107 A,107 - Urban Luxury Opera Vinci,7.4,7.4,0,= Stable,23,23
107 B,Urban Flat 107 - Sublime 4 Bedroom Opera Paris,9.0,9.0,0,= Stable,2,2
108 A,Urban Flat 108 - Classic Parisian 4 BDR Flat,6.5,6.5,0,= Stable,16,16
108 B,Urban Flat 108 - Stunning 4 BDR Flat in Paris,7.0,7.0,0,= Stable,2,2
110 B,Urban Flat 110 - Luxury 3 Bedroom near Galeries Lafayette,6.9,6.9,0,= Stable,11,11
110 A,Urban Flat 110 - Luxury 3BDR Flat near Opera Paris,6.7,6.7,0,= Stable,11,11
111 B,111- Urban Theatre de la Madeleine,7.2,7.2,0,= Stable,24,24
111 A,Urban Flat 111 - Urban Lovely Flat Madeleine,6.0,6.0,0,= Stable,2,2
112,112 - Urban Atelier Saint Michel,6.9,6.9,0,= Stable,112,112
113 B,113 - Urban Vuitton Lemoine,7.6,7.6,0,= Stable,110,110
114,114 - Urban Saint Denis Couture,6.2,6.2,0,= Stable,70,70
115 A,115 - Urban Vuitton Saint Denis,6.9,6.9,0,= Stable,50,51
117 A,Urban Flat 117 - Charming 3BDR Apartment in Paris,8.0,8.0,0,= Stable,10,10
118 B,Urban Flat 118 - Luxury 4 BDR Flat near Saint Germain,8.6,8.7,+0.1,↑ Improved,13,14
118 A,118 - Urban Luxury Flat La Sorbonne,6.8,6.8,0,= Stable,4,4
119 B,Urban Flat 119 - Spacious 5 Bedroom Flat in Paris,10,10,0,= Stable,1,1
119 A,119 - Urban Spacious Apartment Sebastopol,7.9,7.9,0,= Stable,14,14
120 B,Urban Flat 120 - Charming 3 bedroom Flat in Le Marais,7.2,7.2,0,= Stable,20,20
120 A,120 - Urban Gorgeous Apartment Le Marais,7.7,7.7,0,= Stable,41,41
121,121 - Urban Gorgeous Flat in Montorgueil,8.6,8.6,0,= Stable,55,55
122 B,122 - Urban Good Life in Montorgueil,6.9,6.9,0,= Stable,55,55
123 B,123 - Urban Luxury Flat in Montorgueil,7.8,7.9,+0.1,↑ Improved,21,22
124 B,124 - Urban Fabulous Flat,8.1,8.1,0,= Stable,31,31
125,125 - Urban Montorgueil Street Art,7.4,7.4,0,= Stable,67,67
126 B,126 - Urban Amazing 3BR Montorgueil,7.3,7.3,0,= Stable,88,88
127 A,127 - Spacious 4BR in Montorgueil,8.0,8.0,0,= Stable,25,25
127 B,127 - Urban Beautiful 4BR in Montorgueil,5.5,5.5,0,= Stable,11,11
128 A,Urban Flat 128 - Art Rock 4BDR Flat near Champs-Elysees,5.9,5.9,0,= Stable,14,14
128 B,UrbanFlat 128 - Champs-Elysees Iconic Penthouse,5.0,5.0,0,= Stable,2,2
129 B,Urban Flat 129 - Sublime Art Love Champs-Elysees,6.3,6.3,0,= Stable,13,13
129 A,Urban Flat 129 - Art Love Champs-Elysees,6.0,6.0,0,= Stable,5,5
130 B,130 - Urban Brand New 110m2 Flat in Montorgueil,8.0,8.0,0,= Stable,110,110
131 A,131 - Urban Brand New 110m2 Beautiful Flat in Montorgueil,7.5,7.5,0,= Stable,16,16
132 B,132 - Urban Beautiful Montorgueil,7.8,7.8,0,= Stable,59,59
133 B,133 - Urban Amazing Flat Montorgueil,7.5,7.5,0,= Stable,43,43
134 B,134 - Urban Gorgeous Flat in Montorgueil,8.1,8.1,0,= Stable,70,70
135 B,135 - Urban Five Star Apartment in Center of Paris,8.3,8.3,0,= Stable,54,54
136 B,136 - Urban Beaumarchais Voltaire,6.6,6.6,0,= Stable,49,49
138 A,138 - Urban Beautiful Duplex in Saint Germain,7.6,7.6,0,= Stable,8,8
138 B,Urban Flat 138 - Beautiful Duplex in Saint Germain,7.8,7.8,0,= Stable,7,7
139 A,139 - Urban Pretty Duplex in Saint-Germain,5.7,5.7,0,= Stable,11,11
140 B,140 - Urban Duplex near Saint-Germain des Pres,8.1,8.1,0,= Stable,36,35
141 A,141 - Beautiful Flat Triangle d Or Champs Elysees,8.6,8.6,0,= Stable,41,41
141 B,141 - Urban Beautiful Flat near Champs-Elysees,5.0,5.0,0,= Stable,10,10
143,Appartement 03 - Paris Faubourg Bail Mobilite,7.0,7.0,0,= Stable,1,1
144,Studio 04 - Paris Faubourg Bail Mobilite,9.0,9.0,0,= Stable,2,2
153,153 - Urban Pretty Flat in Center of Paris,7.3,7.3,0,= Stable,99,99
154,154 - Urban Atelier Home Cinema in Paris,6.3,6.3,0,= Stable,47,46
156 A,156 - Urban YSL Flat in Montorgueil,6.3,6.3,0,= Stable,43,43
156 B,Urban Flat 156 - YSL Saint Denis,7.4,7.8,+0.4,↑ Improved,12,14
157 A,Urban Flat 157 - Coco Chanel Flat in Montorgueil,7.9,7.9,0,= Stable,38,38
157 B,157 - Urban Coco Chanel Flat in Montorgueil,7.3,7.3,0,= Stable,14,14
158 B,158 - Urban Louis Vuitton Flat in Montorgueil,8.2,8.3,+0.1,↑ Improved,75,76
159 B,Urban Flat 159 - Charming 3BDR Flat in Paris,7.4,7.4,0,= Stable,16,16
159 A,159 - Urban Beautiful brand new flat in Paris,7.5,7.7,+0.2,↑ Improved,38,39
160 A,160 - Urban Fashion Week Paris Vuitton,6.1,6.1,0,= Stable,43,43
160 B,Urban Flat 160 - Fashion week Paris Central flat,7.4,7.5,+0.1,↑ Improved,7,8
161 A,Urban Flat 161 - Sublime 4BDR Luxury Flat in Paris,6.6,7.0,+0.4,↑ Improved,7,8
161 B,UrbanFlat 161 - Spacious Apartment Rue de Paradis,3.0,3.0,0,= Stable,1,1
162,162 - Urban Studio in Montorgueil,7.9,8.0,+0.1,↑ Improved,57,58
163,Studio 13 - Paris Faubourg Bail Mobilite,7.0,7.0,0,= Stable,1,1
164,164 - Charming Studio in Center of Paris,4.7,4.8,+0.1,↑ Improved,63,64
165,165 - Urban Studio near Haussmann Boulevard,4.5,4.1,-0.4,↓ Degraded,29,30
165 B,UrbanFlat 165 - Boetie - Champs Elysees Studio,1.0,1.0,0,= Stable,1,1
166,166 - Urban Luxury Apartment in Center of Paris,8.2,8.2,0,= Stable,52,52
167,Urban Flat 167 - Luxury 1 Bedroom Flat in Paris,8.0,7.7,-0.3,↓ Degraded,37,38
168,Urban Flat 168 - Spacious 1-Bedroom Apartment in Paris,8.1,8.1,0,= Stable,36,37
169,Urban Flat 169 - Pretty Flat Bercy Coriolis,6.9,7.0,+0.1,↑ Improved,70,72
170 A,170 - Sublime Flat in Center of Paris,8.4,8.4,0,= Stable,52,53
172,Urban Flat 172 - Pretty Flat Gaite Montparnasse Cinema,7.6,7.7,+0.1,↑ Improved,28,28
173,Urban Flat 173 - Charming Flat Atelier Gaite Montparnasse,6.3,6.3,0,= Stable,37,37
174,Urban Flat 174 - Vuitton St Denis,7.3,7.3,0,= Stable,42,42
175,Urban Flat 175 - Loft St Denis,5.9,5.9,0,= Stable,25,25
176,Urban Flat 176 - Charming 3 Bedroom in Montorgueil,7.6,7.4,-0.2,↓ Degraded,32,33
177,Urban Flat 177 - Lovely Studio in Paris,6.3,6.3,0,= Stable,19,19
178 B,Urban Flat 178 - Cosy 2 Bedroom in center of Paris,4.9,4.9,0,= Stable,6,6
178 A,UrbanFlat 178 - Charming Apartment for 6 in Heart of Paris,5.3,5.3,0,= Stable,3,3
179,Urban Flat 179 - Pretty Loft Montorgueil,7.3,7.1,-0.2,↓ Degraded,41,43
180,Urban Flat 180 - Charmant Appartement au coeur du Marais,8.6,8.6,0,= Stable,41,41
182,Urban Flat 182 - Spacious 4 Bedroom Flat in Paris,7.0,7.0,0,= Stable,18,18
183,183 - Villette Studio,3.6,3.6,0,= Stable,5,5
184,Urban Flat 184 - Charming 1 BDR Flat in Paris,5.9,5.9,0,= Stable,13,13
185,Urban Flat 185 - Pretty 2 Bedroom Apartment in Paris,5.8,5.8,0,= Stable,14,14
186,Urban Flat 186 - Spacious 3 Bedroom Flat in Paris,5.1,5.1,0,= Stable,11,11
187,Urban Flat 187 - Sublime 1 Bedroom in Paris,4.9,4.9,0,= Stable,16,16
188 B,Urban Flat 188 - Stunning 4 Bedroom Flat in Paris,7.0,7.0,0,= Stable,3,3
188,Urban Flat 188 - Sublime 4 Bedroom Apartment in Paris,8.0,7.6,-0.4,↓ Degraded,7,8
189,Urban Flat 189 - Atelier Montparnasse Vuitton,7.6,7.6,0,= Stable,37,38
190,190 - Loft Gaite-Montparnasse,7.8,7.8,0,= Stable,47,49
191 A,Urban Flat 191 - Luxury 3 Bedroom Apartment - Madeleine,8.7,8.8,+0.1,↑ Improved,4,4
192,Urban Flat 192 - Cosy Flat Basfour,4.8,5.1,+0.3,↑ Improved,12,13
193 A,Urban Flat 193 - Barbie in Paris,5.1,5.1,0,= Stable,19,19
193 B,Urban Flat 193 - Barbie Paris,6.8,6.9,+0.1,↑ Improved,13,14
194 B,Urban Flat 194 - Spacious 3 Bedroom Montmartre,6.7,6.7,0,= Stable,12,12
194 A,Urban Flat 194 - Cosy 3 Bedroom Opera Grands Boulevards,7.7,7.7,0,= Stable,11,11
195 A,UrbanFlat 195 - Cosy Triplex in center of Paris,7.7,7.7,0,= Stable,3,3
195 B,195 - Saint Denis Triplex,5.6,5.6,0,= Stable,7,7
196,Urban Flat - 196 Saint Honore,8.7,8.8,+0.1,↑ Improved,14,15
197,Urban Flat 197 - Appartement Saint Honore Champs Elysees,9.7,9.7,0,= Stable,3,3
198,Urban Flat 198 - Townhouse Basfroi,8.2,8.2,0,= Stable,5,5
199,Urban Flat 199 - Parisian 5 Bedroom Central Flat,6.0,6.0,0,= Stable,1,1
199 B,Urban Flat 199 - Beautiful 5 Bedrooms in the Center,7.3,7.3,0,= Stable,3,3
201,UrbanFlat 201 - Beautiful 2 Bedroom Flat in the center of Paris,10,7.0,-3.0,↓ Degraded,1,2
210,UrbanFlat 210 - Beautiful Studio in the center of Paris,10,10,0,= Stable,1,1
